1,"[1, 25[",*
2,"[1, 25[",*
3,"[1, 25[",*
4,"[1, 25[",*
5,"[1, 25[",*
6,"[1, 25[",*
7,"[1, 25[",*
8,"[1, 25[",*
9,"[1, 25[",*
10,"[1, 25[",*
11,"[1, 25[",*
12,"[1, 25[",*
13,"[1, 25[",*
14,"[1, 25[",*
15,"[1, 25[",*
16,"[1, 25[",*
17,"[1, 25[",*
18,"[1, 25[",*
19,"[1, 25[",*
20,"[1, 25[",*
21,"[1, 25[",*
22,"[1, 25[",*
23,"[1, 25[",*
24,"[1, 25[",*
25,"[25, 50[",*
26,"[25, 50[",*
27,"[25, 50[",*
28,"[25, 50[",*
29,"[25, 50[",*
30,"[25, 50[",*
31,"[25, 50[",*
32,"[25, 50[",*
33,"[25, 50[",*
34,"[25, 50[",*
35,"[25, 50[",*
36,"[25, 50[",*
37,"[25, 50[",*
38,"[25, 50[",*
39,"[25, 50[",*
40,"[25, 50[",*
41,"[25, 50[",*
42,"[25, 50[",*
43,"[25, 50[",*
44,"[25, 50[",*
45,"[25, 50[",*
46,"[25, 50[",*
47,"[25, 50[",*
48,"[25, 50[",*
49,"[25, 50[",*
50,"[50, 75[",*
51,"[50, 75[",*
52,"[50, 75[",*
53,"[50, 75[",*
54,"[50, 75[",*
55,"[50, 75[",*
56,"[50, 75[",*
57,"[50, 75[",*
58,"[50, 75[",*
59,"[50, 75[",*
60,"[50, 75[",*
61,"[50, 75[",*
62,"[50, 75[",*
63,"[50, 75[",*
64,"[50, 75[",*
65,"[50, 75[",*
66,"[50, 75[",*
67,"[50, 75[",*
68,"[50, 75[",*
69,"[50, 75[",*
70,"[50, 75[",*
72,"[50, 75[",*
73,"[50, 75[",*
74,"[50, 75[",*
75,"[75, 99[",*
76,"[75, 99[",*
77,"[75, 99[",*
78,"[75, 99[",*
79,"[75, 99[",*
80,"[75, 99[",*
81,"[75, 99[",*
82,"[75, 99[",*
84,"[75, 99[",*
85,"[75, 99[",*
86,"[75, 99[",*
87,"[75, 99[",*
88,"[75, 99[",*
89,"[75, 99[",*
90,"[75, 99[",*
91,"[75, 99[",*
92,"[75, 99[",*
94,"[75, 99[",*
95,"[75, 99[",*
96,"[75, 99[",*
97,"[75, 99[",*
98,"[75, 99[",*
99,"[99, 100[",*
