Preschool,Preschool,Low education,*
1st-4th,Elementary school,Low education,*
5th-6th,Elementary school,Low education,*
7th-8th,Middle school,Low education,*
9th,High school,Low education,*
10th,High school,Low education,*
11th,High school,Low education,*
12th,High school,Low education,*
Assoc-voc,High education first level,High education,*
Assoc-acdm,High education first level,High education,*
Bachelors,High education first level,High education,*
HS-grad,High education second level,High education,*
Masters,High education second level,High education,*
Prof-school,High education third level,High education,*
Some-college,High education third level,High education,*
Doctorate,High education third level,High education,*
